date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:29:37	59803/59803	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Mar%202024%2018:12:42%20GMT	https://mixdesign.club/themeforest/braxton/index-svg.html	D:/Git/static%20web/mixdesign.club/themeforest/braxton/index-svg.html	(from )
12:29:38	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Apr%202024%2005:29:39%20GMT	https://mixdesign.club/robots.txt		(from )
12:29:38	4286/4286	---M--	200	added ('OK')	image/x-icon	date:Sun,%2010%20Mar%202024%2018:14:05%20GMT	https://mixdesign.club/themeforest/braxton/img/favicon/favicon.ico	D:/Git/static%20web/mixdesign.club/themeforest/braxton/img/favicon/favicon.ico	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
12:29:38	258/258	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2010%20Mar%202024%2018:14:06%20GMT	https://mixdesign.club/themeforest/braxton/img/favicon/icon.svg	D:/Git/static%20web/mixdesign.club/themeforest/braxton/img/favicon/icon.svg	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
12:29:39	8168/8168	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Mar%202024%2018:14:05%20GMT	https://mixdesign.club/themeforest/braxton/img/favicon/apple-touch-icon.png	D:/Git/static%20web/mixdesign.club/themeforest/braxton/img/favicon/apple-touch-icon.png	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
12:29:39	374/374	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2010%20Mar%202024%2018:14:06%20GMT	https://mixdesign.club/themeforest/braxton/img/favicon/manifest.webmanifest	D:/Git/static%20web/mixdesign.club/themeforest/braxton/img/favicon/manifest.webmanifest	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
12:29:39	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Apr%202024%2005:29:40%20GMT	https://mixdesign.club/themeforest/braxton/img/favicon/og-image.jpg	D:/Git/static%20web/mixdesign.club/themeforest/braxton/img/favicon/og-image.jpg	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
12:29:39	12284/12284	---M-Z	200	added ('OK')	text/css	date:Sun,%2010%20Mar%202024%2018:12:54%20GMT	https://mixdesign.club/themeforest/braxton/css/loaders/loader.css	D:/Git/static%20web/mixdesign.club/themeforest/braxton/css/loaders/loader.css	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
12:29:40	103596/103596	---M-Z	200	added ('OK')	text/css	date:Wed,%2020%20Mar%202024%2016:29:28%20GMT	https://mixdesign.club/themeforest/braxton/css/main.css	D:/Git/static%20web/mixdesign.club/themeforest/braxton/css/main.css	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
12:29:41	1051145/1051145	---M-Z	200	added ('OK')	text/css	date:Sun,%2010%20Mar%202024%2018:12:50%20GMT	https://mixdesign.club/themeforest/braxton/css/plugins.css	D:/Git/static%20web/mixdesign.club/themeforest/braxton/css/plugins.css	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
